,titular,diario,fecha,todo
353,"Sánchez y Ayuso , batalla final",El País,2021-05-03,"Sánchez y Ayuso , batalla final (El País, 2021-05-03) | "
354,Podemos cierra la campaña más tensa con una defensa de la democracia frente al fascismo,El País,2021-05-02,"Podemos cierra la campaña más tensa con una defensa de la democracia frente al fascismo (El País, 2021-05-02) | "
355,Vox cierra una campaña acosado por la violencia y convencido de que será la clave de Madrid,El Mundo,2021-05-02,"Vox cierra una campaña acosado por la violencia y convencido de que será la clave de Madrid (El Mundo, 2021-05-02) | "
356,"Pablo Iglesias y Yolanda Díaz apelan a la movilización masiva "" de la clase trabajadora "" contra "" los enemigos de la democracia "" ",eldiario.es,2021-05-02,"Pablo Iglesias y Yolanda Díaz apelan a la movilización masiva "" de la clase trabajadora "" contra "" los enemigos de la democracia ""  (eldiario.es, 2021-05-02) | "
357,"Iglesias cierra la campaña acusando al PP de Ayuso de "" enemigo arrogante y violento de la democracia "" ",El Español,2021-05-02,"Iglesias cierra la campaña acusando al PP de Ayuso de "" enemigo arrogante y violento de la democracia ""  (El Español, 2021-05-02) | "
358,"Abascal cierra la campaña atacando a Iglesias , « el machito alfa llorón » ",ABC,2021-05-02,"Abascal cierra la campaña atacando a Iglesias , « el machito alfa llorón »  (ABC, 2021-05-02) | "
359, ‘ Podcast ’ ‘ La batalla por Madrid ’ | Ep . 11 : El último chotis,El País,2021-05-03," ‘ Podcast ’ ‘ La batalla por Madrid ’ | Ep . 11 : El último chotis (El País, 2021-05-03) | "
360,"El poco carisma de Gabilondo , la agresividad de García y el egocentrismo de Iglesias",La Razón,2021-05-03,"El poco carisma de Gabilondo , la agresividad de García y el egocentrismo de Iglesias (La Razón, 2021-05-03) | "
361,Los “ escoltas ” de Iglesias lideraron el ataque a la Policía en Vallecas,La Razón,2021-05-02,"Los “ escoltas ” de Iglesias lideraron el ataque a la Policía en Vallecas (La Razón, 2021-05-02) | "
362,La izquierda agarra la bandera de la lucha obrera para tumbar a la derecha en Madrid,Público,2021-05-01,"La izquierda agarra la bandera de la lucha obrera para tumbar a la derecha en Madrid (Público, 2021-05-01) | "
363,Hanna Arendt y la normalización del fascismo,Público,2021-04-30,"Hanna Arendt y la normalización del fascismo (Público, 2021-04-30) | "
364,Ayuso arremete contra Iglesias mientras la izquierda apura sus posibilidades,Público,2021-04-29,"Ayuso arremete contra Iglesias mientras la izquierda apura sus posibilidades (Público, 2021-04-29) | "
365,"Ayuso arremete contra Sanidad y defiende la corrida del 2 de mayo : "" El Gobierno tiene que olvidarse de la campaña de Madrid "" ",Público,2021-04-29,"Ayuso arremete contra Sanidad y defiende la corrida del 2 de mayo : "" El Gobierno tiene que olvidarse de la campaña de Madrid ""  (Público, 2021-04-29) | "
366,Tezanos ataca a Ayuso antes del 4 - M y llama tabernarios a los votantes del PP,El Confidencial,2021-05-03,"Tezanos ataca a Ayuso antes del 4 - M y llama tabernarios a los votantes del PP (El Confidencial, 2021-05-03) | "
367,El 4 - M salta a Zaragoza : una querella por incitación al odio y muchos ataques cruzados,El Confidencial,2021-05-04,"El 4 - M salta a Zaragoza : una querella por incitación al odio y muchos ataques cruzados (El Confidencial, 2021-05-04) | "
368,De la libertad a las amenazas de muerte : seis instantes clave de la campaña más polémica,El País,2021-05-03,"De la libertad a las amenazas de muerte : seis instantes clave de la campaña más polémica (El País, 2021-05-03) | "
369,"Tezanos arremete contra Ayuso : critica su "" escasa entidad intelectual y política "" ",El Español,2021-05-04,"Tezanos arremete contra Ayuso : critica su "" escasa entidad intelectual y política ""  (El Español, 2021-05-04) | "
370,"La participación se dispara entre 5 y 7 puntos en las grandes ciudades del norte y el sur , pero no en la capital",La Razón,2021-05-04,"La participación se dispara entre 5 y 7 puntos en las grandes ciudades del norte y el sur , pero no en la capital (La Razón, 2021-05-04) | "
371,El derrumbe del metro de Ciudad de México provoca al menos 23 muertos y más de 70 heridos,La Razón,2021-05-04,"El derrumbe del metro de Ciudad de México provoca al menos 23 muertos y más de 70 heridos (La Razón, 2021-05-04) | "
372,Balance final de la campaña electoral,El Español,2021-05-04,"Balance final de la campaña electoral (El Español, 2021-05-04) | "
373,De la gran mancha azul al batacazo del PSOE : ocho gráficos que resumen la noche electoral,El Confidencial,2021-05-05,"De la gran mancha azul al batacazo del PSOE : ocho gráficos que resumen la noche electoral (El Confidencial, 2021-05-05) | "
374,Batacazo de Sánchez con el peor resultado histórico del PSOE en Madrid y es superado por Más Madrid,ABC,2021-05-04,"Batacazo de Sánchez con el peor resultado histórico del PSOE en Madrid y es superado por Más Madrid (ABC, 2021-05-04) | "
375,José María Carrascal : Batacazo,ABC,2021-05-04,"José María Carrascal : Batacazo (ABC, 2021-05-04) | "
376,Podcast ‘ La batalla por Madrid ’ | Ep . 12 : Así ganó Ayuso,El País,2021-05-05,"Podcast ‘ La batalla por Madrid ’ | Ep . 12 : Así ganó Ayuso (El País, 2021-05-05) | "
377,Urnas sin sables,El País,2021-05-04,"Urnas sin sables (El País, 2021-05-04) | "
378,El balance de los politólogos : el triunfo de una campaña sin testosterona,El País,2021-05-04,"El balance de los politólogos : el triunfo de una campaña sin testosterona (El País, 2021-05-04) | "
379,La participación en las elecciones de Madrid se dispara por encima del 75 % ,El País,2021-05-04,"La participación en las elecciones de Madrid se dispara por encima del 75 %  (El País, 2021-05-04) | "
380,Récord histórico de participación : se dispara hasta alcanzar el 76 % ,El Mundo,2021-05-04,"Récord histórico de participación : se dispara hasta alcanzar el 76 %  (El Mundo, 2021-05-04) | "
381,El PSOE se desangra en Madrid y pone en entredicho a Moncloa,El Mundo,2021-05-05,"El PSOE se desangra en Madrid y pone en entredicho a Moncloa (El Mundo, 2021-05-05) | "
382,Resultados elecciones : Pablo Iglesias deja la política tras su batacazo en Madrid : “ No contribuyo ” ,La Razón,2021-05-04,"Resultados elecciones : Pablo Iglesias deja la política tras su batacazo en Madrid : “ No contribuyo ”  (La Razón, 2021-05-04) | "
383,50 . 000 muertes desde que Sánchez dio por vencido al virus,La Razón,2021-05-05,"50 . 000 muertes desde que Sánchez dio por vencido al virus (La Razón, 2021-05-05) | "
384,Dani Mateo ahora es ' facha ' : el mensaje que le ha valido las críticas de la izquierda,El Español,2021-05-05,"Dani Mateo ahora es ' facha ' : el mensaje que le ha valido las críticas de la izquierda (El Español, 2021-05-05) | "
385,Vallecas también es territorio Ayuso : la guerra entre Vox y Podemos por el barrio la gana el PP,El Español,2021-05-05,"Vallecas también es territorio Ayuso : la guerra entre Vox y Podemos por el barrio la gana el PP (El Español, 2021-05-05) | "
386,Las 31 preguntas sin respuesta que plantea la aplastante victoria de Ayuso en Madrid,El Español,2021-05-04,"Las 31 preguntas sin respuesta que plantea la aplastante victoria de Ayuso en Madrid (El Español, 2021-05-04) | "
387,Elecciones en Madrid Mónica García catapulta a Más Madrid a la segunda fuerza y consigue un histórico ' sorpasso ' en votos al PSOE,Público,2021-05-04,"Elecciones en Madrid Mónica García catapulta a Más Madrid a la segunda fuerza y consigue un histórico ' sorpasso ' en votos al PSOE (Público, 2021-05-04) | "
388,El cazanazis casi se canta ' El Necio ' ,Público,2021-05-05,"El cazanazis casi se canta ' El Necio '  (Público, 2021-05-05) | "
389,"Elecciones en Madrid Pablo Iglesias : "" El mérito de lo que pasó en el debate es de la gente que vio que esta campaña va de fascismo o democracia "" ",Público,2021-04-25,"Elecciones en Madrid Pablo Iglesias : "" El mérito de lo que pasó en el debate es de la gente que vio que esta campaña va de fascismo o democracia ""  (Público, 2021-04-25) | "
390,El exjemad Julio Rodríguez será diputado tras tres intentos y un fallido asalto a la alcaldía,El Confidencial,2021-05-05,"El exjemad Julio Rodríguez será diputado tras tres intentos y un fallido asalto a la alcaldía (El Confidencial, 2021-05-05) | "
391,Casado da por muerto a Cs y proclama el regreso del PP : “ Volvemos a ser el gran partido de España ” ,El País,2021-05-05,"Casado da por muerto a Cs y proclama el regreso del PP : “ Volvemos a ser el gran partido de España ”  (El País, 2021-05-05) | "
392,Más País y sus socios exploran cómo extender el éxito de Más Madrid por toda España,El País,2021-05-05,"Más País y sus socios exploran cómo extender el éxito de Más Madrid por toda España (El País, 2021-05-05) | "
393,Urnas y sables,El País,2021-05-04,"Urnas y sables (El País, 2021-05-04) | "
